ntaname_1,average,densityairbnb
Stuyvesant Town-Cooper Village,11.15257867,0.6091
Kingsbridge Heights,64.51651158,0.076
park-cemetery-etc-Brooklyn,91.64713332,0.0096
Midtown-Midtown South,115.3793821,3.4877
Crotona Park East,117.8794855,0.0613
Morrisania-Melrose,121.884716,0.2368
University Heights-Morris Heights,130.4634425,0.1835
Fordham South,131.3155726,0.1902
Claremont-Bathgate,131.6129146,0.0608
Pelham Parkway,133.8418614,0.1389
Longwood,152.4367149,0.1211
East Concourse-Concourse Village,155.4214404,0.2525
East Tremont,156.6325602,0.0623
Hunts Point,160.550385,0.0382
Westchester-Unionport,165.6162523,0.0418
Soundview-Castle Hill-Clason Point-Harding Park,167.0528712,0.0558
Norwood,167.5680385,0.1399
West New Brighton-New Brighton-St. George,169.9441371,0.1391
West Concourse,171.2875963,0.3198
Rugby-Remsen Village,172.7247239,0.2874
Mount Hope,174.0797252,0.2174
Highbridge,174.1560875,0.1884
West Farms-Bronx River,175.398168,0.1061
Soundview-Bruckner,181.4029765,0.0492
Eastchester-Edenwald-Baychester,181.7202548,0.0522
Canarsie,183.4172341,0.1754
Bedford Park-Fordham North,186.2124488,0.18
Woodlawn-Wakefield,191.6326062,0.0906
Bronxdale,192.2196384,0.1317
Brownsville,192.6543501,0.11
East New York (Pennsylvania Ave),198.1958201,0.2268
Williamsbridge-Olinville,198.5425314,0.1351
Van Cortlandt Village,200.727954,0.1442
East New York,202.1384916,0.1495
Far Rockaway-Bayswater,204.4668962,0.0868
Woodside,206.1780786,0.7469
Mott Haven-Port Morris,206.301514,0.2434
Cypress Hills-City Line,206.7989232,0.4201
Stapleton-Rosebank,214.194887,0.1289
Port Richmond,215.2461971,0.0247
Melrose South-Mott Haven North,215.6556577,0.1158
Allerton-Pelham Gardens,216.0928413,0.1294
Van Nest-Morris Park-Westchester Square,216.5959775,0.0468
Belmont,216.8438843,0.1549
Hammels-Arverne-Edgemere,217.3308277,0.2133
Springfield Gardens North,220.006935,0.197
