ntaname_1,average,densityairbnb
SoHo-TriBeCa-Civic Center-Little Italy,5107.430777,4.0547
West Village,4632.810874,4.5133
Upper East Side-Carnegie Hill,4457.351182,1.3655
Hudson Yards-Chelsea-Flatiron-Union Square,3157.012206,3.3743
Parkchester,2356.92051,0.196
Yorkville,2208.719,4.8081
Brooklyn Heights-Cobble Hill,1797.467562,1.5125
Murray Hill-Kips Bay,1680.050929,5.1637
Upper West Side,1619.553712,2.8214
Fort Greene,1503.89328,2.6694
Forest Hills,1494.389361,0.2628
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1464.831488,1.5029
Lenox Hill-Roosevelt Island,1365.671265,3.2835
North Side-South Side,1357.183061,7.5615
Prospect Heights,1296.044258,4.0956
Chinatown,1253.572665,5.8613
Park Slope-Gowanus,1226.936102,2.1548
Morningside Heights,1220.937773,3.3539
Flushing,1188.376392,0.375
Turtle Bay-East Midtown,1173.281722,4.8869
Battery Park City-Lower Manhattan,1037.753775,3.7205
East Village,1009.197249,11.8502
Clinton,978.0894666,8.4848
East Harlem South,964.8732146,2.4323
Gramercy,953.3248974,5.1681
East Williamsburg,890.2126763,2.954
Clinton Hill,884.2172313,4.1406
Greenpoint,855.2194714,2.6233
Windsor Terrace,835.4025659,1.3602
Lower East Side,819.5021347,3.4639
Queensbridge-Ravenswood-Long Island City,789.6889199,0.6733
Central Harlem South,773.6126123,5.208
Carroll Gardens-Columbia Street-Red Hook,739.6162861,0.9596
Manhattanville,708.3052643,3.0619
Oakland Gardens,706.1947884,0.0176
Old Astoria,649.7669901,1.4021
Douglas Manor-Douglaston-Little Neck,620.1307318,0.0175
Homecrest,610.8466536,0.1734
Sunset Park East,610.1697602,0.5309
Gravesend,603.2048033,0.0957
Spuyten Duyvil-Kingsbridge,600.2979855,0.1422
Williamsburg,593.8367477,0.6212
Whitestone,588.1124198,0.0159
Pomonok-Flushing Heights-Hillcrest,569.7491279,0.0669
Hamilton Heights,555.2507572,4.498
Bay Ridge,553.0352055,0.2682
Ocean Parkway South,550.6789586,0.1012
Borough Park,545.9940521,0.1278
Murray Hill,532.9541192,0.0743
Bayside-Bayside Hills,525.9375146,0.0309
Astoria,513.9788562,1.7185
Fresh Meadows-Utopia,510.9058087,0.0504
Bedford,509.5023902,4.0178
Elmhurst,505.1506283,0.4744
Central Harlem North-Polo Grounds,500.605959,3.3499
Rego Park,490.6630555,0.341
Dyker Heights,484.6506485,0.0635
Briarwood-Jamaica Hills,478.4278727,0.2252
Jackson Heights,475.6049443,0.443
East Flushing,474.1082826,0.2546
Queensboro Hill,469.7652451,0.2297
Auburndale,466.1753047,0.0556
Hunters Point-Sunnyside-West Maspeth,460.8223863,0.4583
Brighton Beach,457.3079693,0.4016
Elmhurst-Maspeth,453.7170461,0.3192
Bensonhurst East,452.513737,0.0811
Bath Beach,441.8749649,0.0682
Steinway,439.7613421,0.5072
Kensington-Ocean Parkway,438.2249008,0.8117
Midwood,437.1283589,0.2207
Washington Heights North,437.0559846,1.4206
Marble Hill-Inwood,414.5769397,0.8403
East Harlem North,411.0115212,1.8453
Washington Heights South,410.3788875,2.5073
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,409.153471,0.1184
Middle Village,406.4280118,0.0607
Bushwick South,406.077999,4.0902
Bensonhurst West,404.7056128,0.1521
park-cemetery-etc-Queens,398.6068111,0.0077
North Corona,396.3038909,0.2
Kew Gardens Hills,396.1290113,0.0554
College Point,394.5582444,0.0356
Bellerose,392.3281131,0.0127
Bushwick North,391.9992849,4.3887
Lindenwood-Howard Beach,389.6124438,0.0297
North Riverdale-Fieldston-Riverdale,377.4039019,0.0449
Madison,375.1184168,0.1351
Sunset Park West,362.513424,0.4737
Crown Heights North,360.8527392,2.656
Co-op City,356.9168743,0.0351
Crown Heights South,356.3985086,1.4697
Old Town-Dongan Hills-South Beach,355.5907485,0.0343
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,355.2980487,0.0201
Maspeth,353.8895578,0.1459
Corona,351.801688,0.2042
Flatbush,341.294207,1.1358
Georgetown-Marine Park-Bergen Beach-Mill Basin,340.478918,0.026
Ft. Totten-Bay Terrace-Clearview,339.9618697,0.0065
Ozone Park,334.6130006,0.0879
Stuyvesant Heights,330.6736678,4.343
Prospect Lefferts Gardens-Wingate,329.9167643,1.947
East Elmhurst,329.3541586,0.2839
Ridgewood,327.3379088,0.8139
Kew Gardens,317.9160266,0.2188
Glendale,316.5327839,0.1299
Oakwood-Oakwood Beach,308.6327442,0.0071
Rossville-Woodrow,305.6557368,0.0046
Great Kills,303.9102848,0.0145
New Dorp-Midland Beach,301.236135,0.0271
South Ozone Park,298.0483637,0.0461
Jamaica Estates-Holliswood,295.6995079,0.0327
Jamaica,293.0321099,0.0528
Mariner's Harbor-Arlington-Port Ivory-Graniteville,291.3885332,0.0157
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,289.9976995,0.0059
Schuylerville-Throgs Neck-Edgewater Park,289.966379,0.0317
Westerleigh,288.4524665,0.0047
Annadale-Huguenot-Prince's Bay-Eltingville,287.3746812,0.0043
Charleston-Richmond Valley-Tottenville,284.9281798,0.0041
Grymes Hill-Clifton-Fox Hills,282.8294514,0.0556
Seagate-Coney Island,279.6033189,0.0696
Ocean Hill,278.8308406,1.4634
Cambria Heights,278.3269239,0.0544
Richmond Hill,276.5675882,0.1412
Woodhaven,273.451565,0.2351
New Springville-Bloomfield-Travis,272.8943987,0.0037
New Brighton-Silver Lake,266.7513499,0.07
Baisley Park,265.0206687,0.1726
Laurelton,263.3513047,0.0553
Queens Village,261.1928226,0.0791
Springfield Gardens South-Brookville,260.074174,0.1294
Arden Heights,257.1983201,0.002
Grasmere-Arrochar-Ft. Wadsworth,251.2947106,0.0684
Pelham Bay-Country Club-City Island,246.5450933,0.0673
St. Albans,241.5383017,0.1111
Flatlands,236.3879821,0.138
Rosedale,234.1146255,0.0731
Hollis,233.7412569,0.0786
East Flatbush-Farragut,230.3452014,0.4016
Erasmus,221.7499001,1.2188
South Jamaica,220.9816426,0.0826
Springfield Gardens North,220.006935,0.19
Hammels-Arverne-Edgemere,217.3308277,0.2036
Belmont,216.8438843,0.1401
Van Nest-Morris Park-Westchester Square,216.5959775,0.0413
Allerton-Pelham Gardens,216.0928413,0.1104
Melrose South-Mott Haven North,215.6556577,0.1158
Port Richmond,215.2461971,0.0247
Stapleton-Rosebank,214.194887,0.1182
Cypress Hills-City Line,206.7989232,0.3767
Mott Haven-Port Morris,206.301514,0.2315
Woodside,206.1780786,0.6337
Far Rockaway-Bayswater,204.4668962,0.0868
East New York,202.1384916,0.1358
Van Cortlandt Village,200.727954,0.1325
Williamsbridge-Olinville,198.5425314,0.1213
East New York (Pennsylvania Ave),198.1958201,0.1959
Brownsville,192.6543501,0.0917
Bronxdale,192.2196384,0.1251
Woodlawn-Wakefield,191.6326062,0.0856
Bedford Park-Fordham North,186.2124488,0.18
Canarsie,183.4172341,0.1644
Eastchester-Edenwald-Baychester,181.7202548,0.0497
Soundview-Bruckner,181.4029765,0.0492
West Farms-Bronx River,175.398168,0.0928
Highbridge,174.1560875,0.1884
Mount Hope,174.0797252,0.2106
Rugby-Remsen Village,172.7247239,0.2843
West Concourse,171.2875963,0.3095
West New Brighton-New Brighton-St. George,169.9441371,0.1284
Norwood,167.5680385,0.1399
Soundview-Castle Hill-Clason Point-Harding Park,167.0528712,0.0539
Westchester-Unionport,165.6162523,0.0418
Hunts Point,160.550385,0.0362
East Tremont,156.6325602,0.0623
East Concourse-Concourse Village,155.4214404,0.247
Longwood,152.4367149,0.1118
Pelham Parkway,133.8418614,0.1389
Claremont-Bathgate,131.6129146,0.0608
Fordham South,131.3155726,0.1427
University Heights-Morris Heights,130.4634425,0.1694
Morrisania-Melrose,121.884716,0.225
