ntaname_1,average,densityairbnb
SoHo-TriBeCa-Civic Center-Little Italy,5107.430777,0.4993
West Village,4632.810874,0.7569
Upper East Side-Carnegie Hill,4457.351182,0.304
Hudson Yards-Chelsea-Flatiron-Union Square,3157.012206,0.6241
Parkchester,2356.92051,0.0109
Yorkville,2208.719,0.9998
Brooklyn Heights-Cobble Hill,1797.467562,0.1703
Murray Hill-Kips Bay,1680.050929,1.0769
Upper West Side,1619.553712,0.7533
Fort Greene,1503.89328,0.1577
Forest Hills,1494.389361,0.0294
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1464.831488,0.1229
Lenox Hill-Roosevelt Island,1365.671265,0.5069
North Side-South Side,1357.183061,0.6339
Prospect Heights,1296.044258,0.3421
Chinatown,1253.572665,0.5379
Park Slope-Gowanus,1226.936102,0.1905
Morningside Heights,1220.937773,0.2183
Flushing,1188.376392,0.0687
Turtle Bay-East Midtown,1173.281722,0.6382
Battery Park City-Lower Manhattan,1037.753775,0.2421
East Village,1009.197249,1.23
Clinton,978.0894666,1.1981
East Harlem South,964.8732146,0.6066
Gramercy,953.3248974,1.2887
East Williamsburg,890.2126763,0.2147
Clinton Hill,884.2172313,0.2825
Greenpoint,855.2194714,0.3481
Windsor Terrace,835.4025659,0.0783
Lower East Side,819.5021347,0.3863
Queensbridge-Ravenswood-Long Island City,789.6889199,0.1029
Central Harlem South,773.6126123,0.2978
Carroll Gardens-Columbia Street-Red Hook,739.6162861,0.0583
Manhattanville,708.3052643,0.2348
Oakland Gardens,706.1947884,0.0039
Old Astoria,649.7669901,0.1537
Douglas Manor-Douglaston-Little Neck,620.1307318,0.0015
Homecrest,610.8466536,0.0033
Sunset Park East,610.1697602,0.0295
Gravesend,603.2048033,0.0064
Spuyten Duyvil-Kingsbridge,600.2979855,0.0086
Williamsburg,593.8367477,0.0173
Whitestone,588.1124198,0.0058
Pomonok-Flushing Heights-Hillcrest,569.7491279,0.0077
Hamilton Heights,555.2507572,0.292
Bay Ridge,553.0352055,0.0223
Borough Park,545.9940521,0.0019
Murray Hill,532.9541192,0.0191
Bayside-Bayside Hills,525.9375146,0.0037
Astoria,513.9788562,0.3025
Fresh Meadows-Utopia,510.9058087,0.0108
Bedford,509.5023902,0.2942
Elmhurst,505.1506283,0.1041
Central Harlem North-Polo Grounds,500.605959,0.1142
Rego Park,490.6630555,0.0351
Dyker Heights,484.6506485,0.0067
Briarwood-Jamaica Hills,478.4278727,0.0102
Jackson Heights,475.6049443,0.0731
East Flushing,474.1082826,0.0204
Queensboro Hill,469.7652451,0.0226
Hunters Point-Sunnyside-West Maspeth,460.8223863,0.0938
Brighton Beach,457.3079693,0.0233
Elmhurst-Maspeth,453.7170461,0.1095
Bensonhurst East,452.513737,0.0028
Steinway,439.7613421,0.0796
Kensington-Ocean Parkway,438.2249008,0.044
Midwood,437.1283589,0.0251
Washington Heights North,437.0559846,0.1191
Marble Hill-Inwood,414.5769397,0.0959
East Harlem North,411.0115212,0.4327
Washington Heights South,410.3788875,0.0693
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,409.153471,0.0016
Middle Village,406.4280118,0.0087
Bushwick South,406.077999,0.3062
Bensonhurst West,404.7056128,0.0043
North Corona,396.3038909,0.0389
Kew Gardens Hills,396.1290113,0.0106
College Point,394.5582444,0.0059
Bellerose,392.3281131,0.0018
Bushwick North,391.9992849,0.341
Lindenwood-Howard Beach,389.6124438,0.0016
Madison,375.1184168,0.0183
Sunset Park West,362.513424,0.034
Crown Heights North,360.8527392,0.1627
Co-op City,356.9168743,0.0025
Crown Heights South,356.3985086,0.1689
Old Town-Dongan Hills-South Beach,355.5907485,0.0015
Maspeth,353.8895578,0.0056
Corona,351.801688,0.0398
Flatbush,341.294207,0.0619
Georgetown-Marine Park-Bergen Beach-Mill Basin,340.478918,0.0014
Ft. Totten-Bay Terrace-Clearview,339.9618697,0.0065
Ozone Park,334.6130006,0.012
Stuyvesant Heights,330.6736678,0.312
Prospect Lefferts Gardens-Wingate,329.9167643,0.1264
East Elmhurst,329.3541586,0.0253
Ridgewood,327.3379088,0.0495
Kew Gardens,317.9160266,0.0146
Glendale,316.5327839,0.0067
Great Kills,303.9102848,0.0011
New Dorp-Midland Beach,301.236135,0.0018
South Ozone Park,298.0483637,0.0024
Jamaica Estates-Holliswood,295.6995079,0.0023
Jamaica,293.0321099,0.0021
Mariner's Harbor-Arlington-Port Ivory-Graniteville,291.3885332,0.0011
Schuylerville-Throgs Neck-Edgewater Park,289.966379,0.0023
Westerleigh,288.4524665,0.0079
Ocean Hill,278.8308406,0.1145
Cambria Heights,278.3269239,0.003
Richmond Hill,276.5675882,0.0078
Woodhaven,273.451565,0.0216
New Brighton-Silver Lake,266.7513499,0.0021
Baisley Park,265.0206687,0.0182
Laurelton,263.3513047,0.0101
Queens Village,261.1928226,0.0014
Springfield Gardens South-Brookville,260.074174,0.0069
Grasmere-Arrochar-Ft. Wadsworth,251.2947106,0.0024
Pelham Bay-Country Club-City Island,246.5450933,0.005
St. Albans,241.5383017,0.0078
Flatlands,236.3879821,0.0147
Rosedale,234.1146255,0.0049
Hollis,233.7412569,0.0044
East Flatbush-Farragut,230.3452014,0.0233
Erasmus,221.7499001,0.0482
South Jamaica,220.9816426,0.0175
Springfield Gardens North,220.006935,0.007
Hammels-Arverne-Edgemere,217.3308277,0.0097
Belmont,216.8438843,0.0148
Van Nest-Morris Park-Westchester Square,216.5959775,0.0055
Allerton-Pelham Gardens,216.0928413,0.0189
Stapleton-Rosebank,214.194887,0.0107
Cypress Hills-City Line,206.7989232,0.0435
Mott Haven-Port Morris,206.301514,0.0119
Woodside,206.1780786,0.1133
East New York,202.1384916,0.0137
Van Cortlandt Village,200.727954,0.0117
Williamsbridge-Olinville,198.5425314,0.0138
East New York (Pennsylvania Ave),198.1958201,0.0309
Brownsville,192.6543501,0.0183
Bronxdale,192.2196384,0.0066
Woodlawn-Wakefield,191.6326062,0.005
Canarsie,183.4172341,0.011
Eastchester-Edenwald-Baychester,181.7202548,0.0025
West Farms-Bronx River,175.398168,0.0133
Mount Hope,174.0797252,0.0068
Rugby-Remsen Village,172.7247239,0.0031
West Concourse,171.2875963,0.0103
West New Brighton-New Brighton-St. George,169.9441371,0.0107
Soundview-Castle Hill-Clason Point-Harding Park,167.0528712,0.0019
Hunts Point,160.550385,0.002
East Concourse-Concourse Village,155.4214404,0.0055
Longwood,152.4367149,0.0093
Fordham South,131.3155726,0.0476
University Heights-Morris Heights,130.4634425,0.0141
Morrisania-Melrose,121.884716,0.0118
Midtown-Midtown South,115.3793821,0.4869
park-cemetery-etc-Brooklyn,91.64713332,0.0004
Stuyvesant Town-Cooper Village,11.15257867,0.0717
