ntaname_1,average,densityairbnb
Parkchester,2356.92051,0.1307
Yorkville,2208.719,1.463
Brooklyn Heights-Cobble Hill,1797.467562,0.3205
Murray Hill-Kips Bay,1680.050929,1.2219
Upper West Side,1619.553712,1.0908
Fort Greene,1503.89328,1.0374
Forest Hills,1494.389361,0.1608
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1464.831488,0.4951
Lenox Hill-Roosevelt Island,1365.671265,1.0511
North Side-South Side,1357.183061,3.7167
Prospect Heights,1296.044258,1.8279
Chinatown,1253.572665,2.5859
Park Slope-Gowanus,1226.936102,0.8045
Morningside Heights,1220.937773,2.1532
Flushing,1188.376392,0.2984
Turtle Bay-East Midtown,1173.281722,1.1039
Battery Park City-Lower Manhattan,1037.753775,1.5156
East Village,1009.197249,4.2683
Clinton,978.0894666,2.7938
East Harlem South,964.8732146,1.7176
Gramercy,953.3248974,1.7138
East Williamsburg,890.2126763,1.73
Clinton Hill,884.2172313,1.9096
Greenpoint,855.2194714,1.2735
Windsor Terrace,835.4025659,0.4487
Lower East Side,819.5021347,1.7169
Queensbridge-Ravenswood-Long Island City,789.6889199,0.4846
Central Harlem South,773.6126123,2.8395
Carroll Gardens-Columbia Street-Red Hook,739.6162861,0.2444
Manhattanville,708.3052643,2.3105
Oakland Gardens,706.1947884,0.0157
Old Astoria,649.7669901,0.8387
Douglas Manor-Douglaston-Little Neck,620.1307318,0.0146
Homecrest,610.8466536,0.0834
Sunset Park East,610.1697602,0.3981
Gravesend,603.2048033,0.0383
Spuyten Duyvil-Kingsbridge,600.2979855,0.0689
Williamsburg,593.8367477,0.4142
Whitestone,588.1124198,0.0145
Pomonok-Flushing Heights-Hillcrest,569.7491279,0.036
Hamilton Heights,555.2507572,3.1312
Bay Ridge,553.0352055,0.1341
Ocean Parkway South,550.6789586,0.0281
Borough Park,545.9940521,0.087
Murray Hill,532.9541192,0.0724
Bayside-Bayside Hills,525.9375146,0.0186
Astoria,513.9788562,1.0779
Fresh Meadows-Utopia,510.9058087,0.0324
Bedford,509.5023902,2.4732
Elmhurst,505.1506283,0.4162
Central Harlem North-Polo Grounds,500.605959,1.7872
Rego Park,490.6630555,0.2056
Dyker Heights,484.6506485,0.0368
Briarwood-Jamaica Hills,478.4278727,0.1809
Jackson Heights,475.6049443,0.3239
East Flushing,474.1082826,0.2309
Queensboro Hill,469.7652451,0.2297
Auburndale,466.1753047,0.0322
Hunters Point-Sunnyside-West Maspeth,460.8223863,0.301
Brighton Beach,457.3079693,0.1746
Elmhurst-Maspeth,453.7170461,0.301
Bensonhurst East,452.513737,0.0503
Bath Beach,441.8749649,0.0292
Steinway,439.7613421,0.3306
Kensington-Ocean Parkway,438.2249008,0.5348
Midwood,437.1283589,0.1201
Washington Heights North,437.0559846,0.8559
Marble Hill-Inwood,414.5769397,0.5639
East Harlem North,411.0115212,1.1513
Washington Heights South,410.3788875,1.7235
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,409.153471,0.0584
Middle Village,406.4280118,0.0312
Bushwick South,406.077999,3.0471
Bensonhurst West,404.7056128,0.0729
park-cemetery-etc-Queens,398.6068111,0.0045
North Corona,396.3038909,0.1167
Kew Gardens Hills,396.1290113,0.0264
College Point,394.5582444,0.0237
Bellerose,392.3281131,0.0127
Bushwick North,391.9992849,3.4058
Lindenwood-Howard Beach,389.6124438,0.0094
North Riverdale-Fieldston-Riverdale,377.4039019,0.0306
Madison,375.1184168,0.0767
Sunset Park West,362.513424,0.2758
Crown Heights North,360.8527392,1.3871
Co-op City,356.9168743,0.0201
Crown Heights South,356.3985086,0.8068
Old Town-Dongan Hills-South Beach,355.5907485,0.0209
Maspeth,353.8895578,0.0674
Corona,351.801688,0.1245
Flatbush,341.294207,0.6695
Georgetown-Marine Park-Bergen Beach-Mill Basin,340.478918,0.0058
Ft. Totten-Bay Terrace-Clearview,339.9618697,0.0043
Ozone Park,334.6130006,0.036
Stuyvesant Heights,330.6736678,2.544
Prospect Lefferts Gardens-Wingate,329.9167643,1.0146
East Elmhurst,329.3541586,0.2332
Ridgewood,327.3379088,0.5803
Kew Gardens,317.9160266,0.1361
Glendale,316.5327839,0.0866
Oakwood-Oakwood Beach,308.6327442,0.0018
Rossville-Woodrow,305.6557368,0.0015
Great Kills,303.9102848,0.0067
New Dorp-Midland Beach,301.236135,0.0126
South Ozone Park,298.0483637,0.0327
Jamaica Estates-Holliswood,295.6995079,0.0093
Jamaica,293.0321099,0.0359
Mariner's Harbor-Arlington-Port Ivory-Graniteville,291.3885332,0.0101
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,289.9976995,0.0027
Schuylerville-Throgs Neck-Edgewater Park,289.966379,0.0204
Westerleigh,288.4524665,0.0079
Annadale-Huguenot-Prince's Bay-Eltingville,287.3746812,0.0007
Charleston-Richmond Valley-Tottenville,284.9281798,0.0021
Grymes Hill-Clifton-Fox Hills,282.8294514,0.0318
Seagate-Coney Island,279.6033189,0.0284
Ocean Hill,278.8308406,0.9955
Cambria Heights,278.3269239,0.0514
Richmond Hill,276.5675882,0.0902
Woodhaven,273.451565,0.1784
New Springville-Bloomfield-Travis,272.8943987,0.0024
New Brighton-Silver Lake,266.7513499,0.0424
Baisley Park,265.0206687,0.1158
Laurelton,263.3513047,0.0352
Queens Village,261.1928226,0.0374
Springfield Gardens South-Brookville,260.074174,0.0832
Grasmere-Arrochar-Ft. Wadsworth,251.2947106,0.044
Pelham Bay-Country Club-City Island,246.5450933,0.0199
St. Albans,241.5383017,0.0827
Flatlands,236.3879821,0.092
Rosedale,234.1146255,0.0536
Hollis,233.7412569,0.0612
East Flatbush-Farragut,230.3452014,0.2503
Erasmus,221.7499001,0.6955
South Jamaica,220.9816426,0.0625
Springfield Gardens North,220.006935,0.1196
Hammels-Arverne-Edgemere,217.3308277,0.0921
Belmont,216.8438843,0.118
Van Nest-Morris Park-Westchester Square,216.5959775,0.0165
Allerton-Pelham Gardens,216.0928413,0.0663
Melrose South-Mott Haven North,215.6556577,0.0811
Port Richmond,215.2461971,0.0137
Stapleton-Rosebank,214.194887,0.0666
Cypress Hills-City Line,206.7989232,0.2282
Mott Haven-Port Morris,206.301514,0.1408
Woodside,206.1780786,0.5239
Far Rockaway-Bayswater,204.4668962,0.0517
East New York,202.1384916,0.0777
Van Cortlandt Village,200.727954,0.1091
Williamsbridge-Olinville,198.5425314,0.0772
East New York (Pennsylvania Ave),198.1958201,0.134
Brownsville,192.6543501,0.0734
Bronxdale,192.2196384,0.0724
Woodlawn-Wakefield,191.6326062,0.0528
