ntaname_1,average,densityairbnb
Astoria,513.9788562,0.0559
Auburndale,466.1753047,0.0029
"Baisley Park",265.0206687,0.0227
"Battery Park City-Lower Manhattan",1037.7537750,0.0368
"Bay Ridge",553.0352055,0.0134
Bedford,509.5023902,0.0521
"Bedford Park-Fordham North",186.2124488,0.0067
Belmont,216.8438843,0.0295
"Bensonhurst East",452.5137370,0.0140
"Bensonhurst West",404.7056128,0.0107
"Borough Park",545.9940521,0.0167
"Briarwood-Jamaica Hills",478.4278727,0.0068
"Brighton Beach",457.3079693,0.0407
Brownsville,192.6543501,0.0031
"Bushwick North",391.9992849,0.1805
"Bushwick South",406.0779990,0.0772
"Carroll Gardens-Columbia Street-Red Hook",739.6162861,0.0067
"Central Harlem North-Polo Grounds",500.6059590,0.0590
"Central Harlem South",773.6126123,0.1039
Chinatown,1253.5726650,0.0414
Claremont-Bathgate,131.6129146,0.0061
Clinton,978.0894666,0.4193
"Clinton Hill",884.2172313,0.1072
Corona,351.8016880,0.0598
"Crown Heights North",360.8527392,0.0504
"Crown Heights South",356.3985086,0.0250
"Cypress Hills-City Line",206.7989232,0.0290
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",1464.8314880,0.0140
"Douglas Manor-Douglaston-Little Neck",620.1307318,0.0015
"Dyker Heights",484.6506485,0.0067
"East Concourse-Concourse Village",155.4214404,0.0110
"East Elmhurst",329.3541586,0.0101
"East Flatbush-Farragut",230.3452014,0.0087
"East Flushing",474.1082826,0.0068
"East Harlem North",411.0115212,0.1184
"East Harlem South",964.8732146,0.0661
"East New York",202.1384916,0.0051
"East New York (Pennsylvania Ave)",198.1958201,0.0052
"East Tremont",156.6325602,0.0104
"East Village",1009.1972490,0.1469
"East Williamsburg",890.2126763,0.0409
Elmhurst,505.1506283,0.0214
Elmhurst-Maspeth,453.7170461,0.0228
Erasmus,221.7499001,0.1033
"Far Rockaway-Bayswater",204.4668962,0.0037
Flatbush,341.2942070,0.0376
Flatlands,236.3879821,0.0074
Flushing,1188.3763920,0.0079
"Fordham South",131.3155726,0.0159
"Forest Hills",1494.3893610,0.0069
"Fort Greene",1503.8932800,0.0182
"Ft. Totten-Bay Terrace-Clearview",339.9618697,0.0022
Gramercy,953.3248974,0.1196
Gravesend,603.2048033,0.0415
Greenpoint,855.2194714,0.0340
"Hamilton Heights",555.2507572,0.0746
Hammels-Arverne-Edgemere,217.3308277,0.0016
Homecrest,610.8466536,0.0400
